Satir_No,Timestamp [ns],static_inv_entropy,static_pose_chi2_error,static_culled_keyframes,norm_static_inv_entropy,norm_static_pose_chi2_error,norm_static_culled_keyframes,scaled_norm_static_inv_entropy,scaled_norm_static_pose_chi2_error,scaled_norm_static_culled_keyframes,combined_value,theta_p_raw,theta_p,sigma_p
1,1403637133038319104,0.046355605125427246,0.746902311,-1.0,-0.5244443871382344,0.04418114616541355,-0.3333333333333333,-0.5244443871382344,0.04418114616541355,-0.3333333333333333,0.04418114616541355,0.026288857760599395,0.0,1.0
2,1403637133088318976,0.04646807909011841,0.857173275,-1.0,-0.5243143594333891,0.07734534586466164,-0.3333333333333333,-0.5243143594333891,0.07734534586466164,-0.3333333333333333,0.07734534586466164,0.04679973188206085,0.0,1.0
3,1403637133138319104,0.04700577259063721,0.8092396,-1.0,-0.5236927484501304,0.06292920300751878,-0.3333333333333333,-0.5236927484501304,0.06292920300751878,-0.3333333333333333,0.06292920300751878,0.03780022585784595,0.0,1.0
4,1403637133188318976,0.047861337661743164,0.756506013,-1.0,-0.5227036558823779,0.04706947759398496,-0.3333333333333333,-0.5227036558823779,0.04706947759398496,-0.3333333333333333,0.04706947759398496,0.02804826996747252,0.0,1.0
5,1403637133238319104,0.047851622104644775,0.902485876,-1.0,-0.5227148877402951,0.09097319578947367,-0.3333333333333333,-0.5227148877402951,0.09097319578947367,-0.3333333333333333,0.09097319578947367,0.05542725660803236,0.0,1.0
6,1403637133288318976,0.048481881618499756,0.850995039,-1.0,-0.5219862640248558,0.07548722977443607,-0.3333333333333333,-0.5219862640248558,0.07548722977443607,-0.3333333333333333,0.07548722977443607,0.045632477047395224,0.0,1.0
7,1403637133338319104,0.0488092303276062,0.9637553,-1.0,-0.5216078262108599,0.1094000902255639,-0.3333333333333333,-0.5216078262108599,0.1094000902255639,-0.3333333333333333,0.1094000902255639,0.06728151531844884,0.0,1.0
8,1403637133388318976,0.04989182949066162,1.005170697,-1.0,-0.5203562664847843,0.12185584872180454,-0.3333333333333333,-0.5203562664847843,0.12185584872180454,-0.3333333333333333,0.12185584872180454,0.07541909358144586,0.0,1.0
9,1403637133438319104,0.05115234851837158,0.810971169,0.0,-0.5188990190539057,0.06344997563909774,0.0,-0.5188990190539057,0.06344997563909774,0.0,0.06344997563909774,0.03812307277971825,0.0,1.0
10,1403637133488318976,0.05109703540802002,0.925445389,0.0,-0.5189629648462196,0.09787831248120299,0.0,-0.5189629648462196,0.09787831248120299,0.0,0.09787831248120299,0.059843836305946925,0.0,1.0
11,1403637133538319104,0.05086481571197521,0.932149217,0.0,-0.5192314269225721,0.09989450135338346,0.0,-0.5192314269225721,0.09989450135338346,0.0,0.09989450135338346,0.061139173126077764,0.0,1.0
12,1403637133588318976,0.039514899253845215,0.918120586,0.0,-0.5323527176256124,0.09567536421052632,0.0,-0.5323527176256124,0.09567536421052632,0.0,0.09567536421052632,0.05843149507877821,0.0,1.0
13,1403637133638319104,0.03937208652496338,1.00972086,0.0,-0.5325178190462851,0.1232243187969925,0.0,-0.5325178190462851,0.1232243187969925,0.0,0.1232243187969925,0.07631933589876165,0.0,1.0
14,1403637133688318976,0.03906047344207764,1.014450602,0.0,-0.5328780653848814,0.12464679759398493,0.0,-0.5328780653848814,0.12464679759398493,0.0,0.12464679759398493,0.07725641439087574,0.0,1.0
15,1403637133738319104,0.03868228197097778,0.997307962,0.0,-0.5333152809584072,0.11949111639097745,0.0,-0.5333152809584072,0.11949111639097745,0.0,0.11949111639097745,0.0738663650951623,0.0,1.0
16,1403637133788318976,0.04016590118408203,1.131018618,0.0,-0.5316001142380554,0.15970484751879696,0.0,-0.5316001142380554,0.15970484751879696,0.0,0.15970484751879696,0.10077773889512408,0.0,1.0
17,1403637133838319104,0.040369510650634766,1.121574068,0.0,-0.5313647275715205,0.15686438135338343,0.0,-0.5313647275715205,0.15686438135338343,0.0,0.15686438135338343,0.09884114970275643,0.0,1.0
18,1403637133888318976,0.033453941345214844,1.264784936,0.0,-0.5393596053812545,0.19993531909774437,0.0,-0.5393596053812545,0.19993531909774437,0.0,0.19993531909774437,0.12880527257925115,0.0,1.0
19,1403637133938319104,0.03592824935913075,1.314099866,0.0,-0.5364991336888661,0.2147668769924812,0.0,-0.5364991336888661,0.2147668769924812,0.0,0.2147668769924812,0.13942584176365308,0.0,1.0
20,1403637133988318976,0.03475457429885864,1.484056311,0.0,-0.5378559834695276,0.2658815972932331,0.0,-0.5378559834695276,0.2658815972932331,0.0,0.2658815972932331,0.17725880506041553,0.0,1.0
21,1403637134038319104,0.03515422344207764,1.425878123,0.0,-0.5373939613386386,0.24838439789473682,0.0,-0.5373939613386386,0.24838439789473682,0.0,0.24838439789473682,0.16408985575696222,0.0,1.0
22,1403637134088318976,0.03900575637817383,1.219652458,0.0,-0.5329413221061574,0.18636164150375942,0.0,-0.5329413221061574,0.18636164150375942,0.0,0.18636164150375942,0.11922253080460835,0.0,1.0
23,1403637134138319104,0.04344594478607178,1.402140951,0.0,-0.52780815631668,0.24124539879699247,0.0,-0.52780815631668,0.24124539879699247,0.0,0.24124539879699247,0.1587826538346294,0.0,1.0
24,1403637134188318976,0.04808443784713756,1.620709132,0.0,-0.5224457365929046,0.30698019007518795,0.0,-0.5224457365929046,0.30698019007518795,0.0,0.30698019007518795,0.20911240167078143,0.011390502088476778,2.127659706759201
25,1403637134238319104,0.05449020862579357,1.49886964,0.0,-0.5150402212418571,0.27033673383458645,0.0,-0.5150402212418571,0.27033673383458645,0.0,0.27033673383458645,0.18064884887995655,0.0,1.0
26,1403637134288318976,0.06103968620300282,1.626246211,0.0,-0.5074685708635805,0.30864547699248124,0.0,-0.5074685708635805,0.30864547699248124,0.0,0.30864547699248124,0.21043088953924516,0.013038611924056434,2.2908225804815867
27,1403637134338319104,0.07408410310745239,1.575293113,0.0,-0.49238832010699146,0.2933212369924812,0.0,-0.49238832010699146,0.2933212369924812,0.0,0.2933212369924812,0.19838041336773526,0.0,1.0
28,1403637134388318976,0.07998418807983398,1.541870879,0.0,-0.4855674126244694,0.28326943729323306,0.0,-0.4855674126244694,0.28326943729323306,0.0,0.28326943729323306,0.19057571126696551,0.0,1.0
29,1403637134438319104,0.08513009548187256,1.235160798,0.0,-0.4796183867261589,0.1910258039097744,0.0,-0.4796183867261589,0.1910258039097744,0.0,0.1910258039097744,0.12250067688811285,0.0,1.0
30,1403637134488318976,0.10106921195983887,1.294873677,0.0,-0.4611916624741747,0.2089845645112782,0.0,-0.4611916624741747,0.2089845645112782,0.0,0.2089845645112782,0.13526650368795226,0.0,1.0
31,1403637134538319104,0.1006782054901123,1.298180201,0.0,-0.4616436930750147,0.2099790078195489,0.0,-0.4616436930750147,0.2099790078195489,0.0,0.2099790078195489,0.13598011616386055,0.0,1.0
32,1403637134588318976,0.100180983543396,1.234396256,0.0,-0.4622185161348023,0.1907958664661654,0.0,-0.4622185161348023,0.1907958664661654,0.0,0.1907958664661654,0.12233870978127624,0.0,1.0
33,1403637134638319104,0.10049355030059814,1.078905037,0.0,-0.4618571672825455,0.14403159007518795,0.0,-0.4618571672825455,0.14403159007518795,0.0,0.14403159007518795,0.09016017594501513,0.0,1.0
34,1403637134688318976,0.10224306583404541,1.19348622,0.0,-0.4598346059722018,0.1784920962406015,0.0,-0.4598346059722018,0.1784920962406015,0.0,0.1784920962406015,0.11372606736533736,0.0,1.0
35,1403637134738319104,0.10221487283706665,1.293582274,0.0,-0.4598671990322929,0.20859617263157895,0.0,-0.4598671990322929,0.20859617263157895,0.0,0.20859617263157895,0.1349879863396418,0.0,1.0
36,1403637134788318976,0.04842406511306763,1.623559073,0.0,-0.5220531039155287,0.30783731518796986,0.0,-0.5220531039155287,0.30783731518796986,0.0,0.30783731518796986,0.2097907546873323,0.012238443359165359,2.2116058925573707
37,1403637134838319104,0.03854203224182118,1.970864357,0.0,-0.5334774193736171,0.41229003218045107,0.0,-0.5334774193736171,0.41229003218045107,0.0,0.41229003218045107,0.29696665119761784,0.12120831399702228,12.999623085705206
38,1403637134888318976,0.031241416931152455,1.761456285,0.0,-0.5419174370738122,0.3493101609022556,0.0,-0.5419174370738122,0.3493101609022556,0.0,0.3493101609022556,0.2433180348911162,0.05414754361389523,6.360606817775628
39,1403637134938319104,0.03074193000793457,1.536277785,0.0,-0.5424948786035438,0.2815873037593985,0.0,-0.5424948786035438,0.2815873037593985,0.0,0.2815873037593985,0.1892772673219945,0.0,1.0
40,1403637134988318976,0.031641364097595215,1.417997947,0.0,-0.5414550704074044,0.24601442015037592,0.0,-0.5414550704074044,0.24601442015037592,0.0,0.24601442015037592,0.16232378820475932,0.0,1.0
41,1403637135038319104,0.029446542263031006,1.346378803,0.0,-0.5439924366901375,0.22447482796992477,0.0,-0.5439924366901375,0.22447482796992477,0.0,0.22447482796992477,0.14646328665595273,0.0,1.0
42,1403637135088318976,0.02962857484817505,1.324328106,0.0,-0.5437819943951734,0.21784303939849625,0.0,-0.5437819943951734,0.21784303939849625,0.0,0.21784303939849625,0.14164840990099745,0.0,1.0
43,1403637135138319104,0.02989870309829723,1.446215168,0.0,-0.5434697074008125,0.254500802406015,0.0,-0.5434697074008125,0.254500802406015,0.0,0.254500802406015,0.16866708446783588,0.0,1.0
44,1403637135188318976,0.029882073402404785,1.327237245,0.0,-0.5434889324827691,0.21871796842105265,0.0,-0.5434889324827691,0.21871796842105265,0.0,0.21871796842105265,0.14228180756570494,0.0,1.0
45,1403637135238319104,0.031025826930999756,1.297067179,0.0,-0.5421666740682084,0.20964426436090222,0.0,-0.5421666740682084,0.20964426436090222,0.0,0.20964426436090222,0.13573982503394516,0.0,1.0
46,1403637135288318976,0.030539631843566784,1.591356863,0.0,-0.5427287493137957,0.29815243999999996,0.0,-0.5427287493137957,0.29815243999999996,0.0,0.29815243999999996,0.20215959868903122,0.0026994983612890072,1.2672503377676116
47,1403637135338319104,0.029944956302642822,1.145953364,0.0,-0.5434162354882742,0.1641965004511278,0.0,-0.5434162354882742,0.1641965004511278,0.0,0.1641965004511278,0.10385133249389046,0.0,1.0
48,1403637135388318976,0.026673495769500843,1.487131261,0.0,-0.5471982707867042,0.2668063942857143,0.0,-0.5471982707867042,0.2668063942857143,0.0,0.2668063942857143,0.1779612685464275,0.0,1.0
49,1403637135438319104,0.029389023780822754,1.792255324,0.0,-0.5440589320452917,0.35857302977443606,0.0,-0.5440589320452917,0.35857302977443606,0.0,0.35857302977443606,0.2509981468869179,0.06374768360864737,7.3110206772560895
